nohup: ignoring input
=== Titanium Ultra Enterprise System ===
[SocialMedia] Nincs token, layer passzív.
[Subscription_20] Feature_2 -> Value: 56.34
[Subscription_9] Feature_2 -> Value: 14.7
[Subscription_10] Feature_4 -> Value: 44.03
[Subscription_17] Feature_3 -> Value: 82.15
[Subscription_18] Feature_4 -> Value: 78.81
[Subscription_4] Feature_2 -> Value: 95.41
[Subscription_6] Feature_2 -> Value: 88.58
[Subscription_8] Feature_3 -> Value: 65.32
[Subscription_14] Feature_3 -> Value: 95.93
[Subscription_13] Feature_3 -> Value: 16.39
[Subscription_1] Feature_3 -> Value: 68.93
[Subscription_5] Feature_3 -> Value: 17.18
[Subscription_3] Feature_3 -> Value: 95.02
[Subscription_7] Feature_4 -> Value: 71.29
[Subscription_9] Feature_3 -> Value: 42.44
[Subscription_12] Feature_3 -> Value: 65.69
[Subscription_11] Feature_3 -> Value: 41.06
[Subscription_19] Feature_3 -> Value: 36.78
[Subscription_20] Feature_3 -> Value: 30.52
[Subscription_15] Feature_4 -> Value: 18.85
[Subscription_2] Feature_3 -> Value: 26.18
[Subscription_4] Feature_3 -> Value: 95.08
[Subscription_6] Feature_3 -> Value: 82.29
[Subscription_8] Feature_4 -> Value: 13.06
[Subscription_16] Feature_3 -> Value: 90.39
[Subscription_17] Feature_4 -> Value: 87.29
[Subscription_1] Feature_4 -> Value: 42.73
[Subscription_10] Feature_5 -> Value: 96.8
[Subscription_14] Feature_4 -> Value: 44.23
[Subscription_13] Feature_4 -> Value: 49.74
[Subscription_18] Feature_5 -> Value: 41.17
[Subscription_19] Feature_4 -> Value: 1.33
[Subscription_15] Feature_5 -> Value: 36.84
[Subscription_5] Feature_4 -> Value: 85.75
[Subscription_4] Feature_4 -> Value: 36.15
[Subscription_6] Feature_4 -> Value: 54.33
[Subscription_3] Feature_4 -> Value: 33.61
[Subscription_12] Feature_4 -> Value: 93.65
[Subscription_11] Feature_4 -> Value: 73.99
[Subscription_7] Feature_5 -> Value: 73.06
[Subscription_9] Feature_4 -> Value: 1.27
[Subscription_20] Feature_4 -> Value: 68.52
[Subscription_19] Feature_5 -> Value: 2.88
[Subscription_15] Feature_1 -> Value: 78.54
[Subscription_1] Feature_5 -> Value: 77.73
[Subscription_2] Feature_4 -> Value: 56.53
[Subscription_10] Feature_1 -> Value: 91.07
[Subscription_8] Feature_5 -> Value: 39.26
[Subscription_12] Feature_5 -> Value: 82.53
[Subscription_14] Feature_5 -> Value: 90.44
[Subscription_13] Feature_5 -> Value: 98.18
[Subscription_16] Feature_4 -> Value: 51.84
[Subscription_11] Feature_5 -> Value: 69.89
[Subscription_17] Feature_5 -> Value: 42.4
[Subscription_5] Feature_5 -> Value: 16.28
[Subscription_4] Feature_5 -> Value: 91.04
[Subscription_18] Feature_1 -> Value: 83.54
[Subscription_6] Feature_5 -> Value: 27.63
[Subscription_3] Feature_5 -> Value: 40.64
[Subscription_8] Feature_1 -> Value: 6.72
[Subscription_13] Feature_1 -> Value: 44.6
[Subscription_16] Feature_5 -> Value: 83.44
[Subscription_11] Feature_1 -> Value: 74.98
[Subscription_19] Feature_1 -> Value: 77.92
[Subscription_1] Feature_1 -> Value: 57.47
[Subscription_2] Feature_5 -> Value: 14.84
[Subscription_4] Feature_1 -> Value: 3.83
[Subscription_7] Feature_1 -> Value: 65.91
[Subscription_9] Feature_5 -> Value: 6.72
[Subscription_12] Feature_1 -> Value: 1.45
[Subscription_14] Feature_1 -> Value: 12.83
[Subscription_18] Feature_2 -> Value: 82.13
[Subscription_20] Feature_5 -> Value: 42.43
[Subscription_15] Feature_2 -> Value: 32.29
[Subscription_6] Feature_1 -> Value: 69.91
[Subscription_10] Feature_2 -> Value: 24.52
[Subscription_11] Feature_2 -> Value: 40.81
[Subscription_16] Feature_1 -> Value: 60.18
[Subscription_17] Feature_1 -> Value: 90.52
[Subscription_1] Feature_2 -> Value: 58.77
[Subscription_5] Feature_1 -> Value: 44.72
[Subscription_4] Feature_2 -> Value: 32.21
[Subscription_3] Feature_1 -> Value: 1.81
[Subscription_7] Feature_2 -> Value: 41.91
[Subscription_8] Feature_2 -> Value: 17.69
[Subscription_20] Feature_1 -> Value: 11.57
[Subscription_19] Feature_2 -> Value: 5.34
[Subscription_2] Feature_1 -> Value: 98.32
[Subscription_9] Feature_1 -> Value: 75.23
[Subscription_14] Feature_2 -> Value: 95.34
[Subscription_13] Feature_2 -> Value: 29.62
[Subscription_16] Feature_2 -> Value: 10.05
[Subscription_18] Feature_3 -> Value: 67.92
[Subscription_1] Feature_3 -> Value: 36.4
[Subscription_4] Feature_3 -> Value: 80.98
[Subscription_3] Feature_2 -> Value: 13.54
[Subscription_6] Feature_2 -> Value: 97.17
[Subscription_10] Feature_3 -> Value: 32.64
[Subscription_12] Feature_2 -> Value: 79.96
[Subscription_11] Feature_3 -> Value: 55.96
[Subscription_19] Feature_3 -> Value: 23.36
[Subscription_15] Feature_3 -> Value: 24.16
[Subscription_2] Feature_2 -> Value: 88.33
[Subscription_5] Feature_2 -> Value: 52.65
[Subscription_8] Feature_3 -> Value: 29.71
[Subscription_16] Feature_3 -> Value: 78.9
[Subscription_17] Feature_2 -> Value: 96.76
[Subscription_1] Feature_4 -> Value: 22.46
[Subscription_7] Feature_3 -> Value: 72.09
[Subscription_9] Feature_2 -> Value: 84.7
[Subscription_3] Feature_3 -> Value: 57.41
[Subscription_11] Feature_4 -> Value: 60.28
[Subscription_20] Feature_2 -> Value: 38.85
[Subscription_15] Feature_4 -> Value: 43.07
[Subscription_19] Feature_4 -> Value: 22.15
[Subscription_2] Feature_3 -> Value: 55.93
[Subscription_6] Feature_3 -> Value: 82.31
[Subscription_10] Feature_4 -> Value: 80.16
[Subscription_8] Feature_4 -> Value: 50.87
[Subscription_12] Feature_3 -> Value: 72.27
[Subscription_14] Feature_3 -> Value: 32.26
[Subscription_13] Feature_3 -> Value: 23.39
[Subscription_16] Feature_4 -> Value: 81.56
[Subscription_18] Feature_4 -> Value: 78.81
[Subscription_1] Feature_5 -> Value: 30.22
[Subscription_5] Feature_3 -> Value: 77.3
[Subscription_4] Feature_4 -> Value: 93.78
[Subscription_7] Feature_4 -> Value: 81.53
[Subscription_9] Feature_3 -> Value: 34.12
[Subscription_17] Feature_3 -> Value: 41.53
[Subscription_20] Feature_3 -> Value: 44.39
[Subscription_15] Feature_5 -> Value: 32.47
[Subscription_19] Feature_5 -> Value: 65.01
[Subscription_3] Feature_4 -> Value: 3.86
[Subscription_10] Feature_5 -> Value: 12.38
[Subscription_12] Feature_4 -> Value: 34.62
[Subscription_13] Feature_4 -> Value: 79.28
[Subscription_2] Feature_4 -> Value: 59.54
[Subscription_5] Feature_4 -> Value: 89.6
[Subscription_7] Feature_5 -> Value: 62.22
[Subscription_9] Feature_4 -> Value: 42.62
[Subscription_14] Feature_4 -> Value: 71.34
[Subscription_11] Feature_5 -> Value: 23.19
[Subscription_20] Feature_4 -> Value: 64.98
[Subscription_19] Feature_1 -> Value: 97.96
[Subscription_4] Feature_5 -> Value: 70.05
[Subscription_6] Feature_4 -> Value: 2.9
[Subscription_10] Feature_1 -> Value: 39.33
[Subscription_8] Feature_5 -> Value: 0.92
[Subscription_12] Feature_5 -> Value: 79.37
[Subscription_16] Feature_5 -> Value: 77.56
[Subscription_18] Feature_5 -> Value: 99.73
[Subscription_15] Feature_1 -> Value: 65.67
[Subscription_1] Feature_1 -> Value: 91.35
[Subscription_7] Feature_1 -> Value: 66.58
[Subscription_14] Feature_5 -> Value: 20.26
[Subscription_17] Feature_4 -> Value: 77.89
[Subscription_20] Feature_5 -> Value: 87.68
[Subscription_19] Feature_2 -> Value: 63.54
[Subscription_2] Feature_5 -> Value: 12.35
[Subscription_5] Feature_5 -> Value: 72.34
[Subscription_6] Feature_5 -> Value: 66.62
[Subscription_3] Feature_5 -> Value: 7.68
[Subscription_13] Feature_5 -> Value: 41.07
[Subscription_11] Feature_1 -> Value: 16.28
[Subscription_4] Feature_1 -> Value: 12.83
[Subscription_9] Feature_5 -> Value: 40.76
[Subscription_12] Feature_1 -> Value: 75.22
[Subscription_17] Feature_5 -> Value: 15.61
[Subscription_16] Feature_1 -> Value: 42.69
[Subscription_18] Feature_1 -> Value: 62.78
[Subscription_19] Feature_3 -> Value: 73.83
[Subscription_1] Feature_2 -> Value: 97.11
[Subscription_2] Feature_1 -> Value: 0.34
[Subscription_6] Feature_1 -> Value: 42.6
[Subscription_7] Feature_2 -> Value: 95.92
[Subscription_10] Feature_2 -> Value: 83.0
[Subscription_8] Feature_1 -> Value: 68.9
[Subscription_14] Feature_1 -> Value: 85.79
[Subscription_15] Feature_2 -> Value: 59.55
[Subscription_4] Feature_2 -> Value: 34.84
[Subscription_5] Feature_1 -> Value: 46.66
[Subscription_3] Feature_1 -> Value: 70.59
[Subscription_13] Feature_1 -> Value: 32.28
[Subscription_20] Feature_1 -> Value: 42.71
[Subscription_2] Feature_2 -> Value: 63.04
[Subscription_6] Feature_2 -> Value: 77.5
[Subscription_12] Feature_2 -> Value: 31.58
[Subscription_11] Feature_2 -> Value: 57.18
[Subscription_17] Feature_1 -> Value: 21.96
[Subscription_19] Feature_4 -> Value: 55.56
[Subscription_4] Feature_3 -> Value: 87.41
[Subscription_9] Feature_1 -> Value: 17.18
[Subscription_7] Feature_3 -> Value: 60.36
[Subscription_8] Feature_2 -> Value: 97.89
[Subscription_10] Feature_3 -> Value: 30.16
[Subscription_14] Feature_2 -> Value: 75.01
[Subscription_13] Feature_2 -> Value: 91.09
[Subscription_16] Feature_2 -> Value: 28.2
[Subscription_18] Feature_2 -> Value: 83.85
[Subscription_1] Feature_3 -> Value: 92.3
[Subscription_3] Feature_2 -> Value: 83.53
[Subscription_11] Feature_3 -> Value: 36.69
[Subscription_15] Feature_3 -> Value: 60.24
[Subscription_5] Feature_2 -> Value: 89.62
[Subscription_2] Feature_3 -> Value: 3.58
[Subscription_7] Feature_4 -> Value: 12.71
[Subscription_14] Feature_3 -> Value: 80.82
[Subscription_13] Feature_3 -> Value: 7.16
[Subscription_20] Feature_2 -> Value: 25.44
[Subscription_18] Feature_3 -> Value: 55.46
[Subscription_19] Feature_5 -> Value: 55.68
[Subscription_4] Feature_4 -> Value: 68.28
[Subscription_6] Feature_3 -> Value: 3.51
[Subscription_8] Feature_3 -> Value: 67.91
[Subscription_12] Feature_3 -> Value: 87.57
[Subscription_17] Feature_2 -> Value: 57.02
[Subscription_16] Feature_3 -> Value: 87.51
[Subscription_1] Feature_4 -> Value: 12.34
[Subscription_5] Feature_3 -> Value: 26.1
[Subscription_3] Feature_3 -> Value: 76.77
[Subscription_9] Feature_2 -> Value: 57.34
[Subscription_10] Feature_4 -> Value: 70.62
[Subscription_7] Feature_5 -> Value: 92.9
[Subscription_11] Feature_4 -> Value: 4.82
[Subscription_20] Feature_3 -> Value: 65.47
[Subscription_15] Feature_4 -> Value: 36.79
[Subscription_19] Feature_1 -> Value: 79.49
[Subscription_4] Feature_5 -> Value: 7.66
[Subscription_1] Feature_5 -> Value: 31.01
[Subscription_2] Feature_4 -> Value: 83.48
[Subscription_6] Feature_4 -> Value: 33.66
[Subscription_14] Feature_4 -> Value: 89.04
[Subscription_13] Feature_4 -> Value: 24.79
[Subscription_16] Feature_4 -> Value: 82.84
[Subscription_18] Feature_4 -> Value: 21.4
[Subscription_20] Feature_4 -> Value: 52.67
[Subscription_15] Feature_5 -> Value: 73.12
[Subscription_4] Feature_1 -> Value: 97.22
[Subscription_8] Feature_4 -> Value: 3.9
[Subscription_12] Feature_4 -> Value: 46.6
[Subscription_17] Feature_3 -> Value: 7.14
[Subscription_1] Feature_1 -> Value: 24.7
[Subscription_5] Feature_4 -> Value: 8.65
[Subscription_3] Feature_4 -> Value: 84.43
[Subscription_9] Feature_3 -> Value: 6.01
[Subscription_10] Feature_5 -> Value: 88.84
[Subscription_7] Feature_1 -> Value: 82.13
[Subscription_13] Feature_5 -> Value: 51.89
[Subscription_11] Feature_5 -> Value: 60.34
[Subscription_15] Feature_1 -> Value: 45.76
[Subscription_19] Feature_2 -> Value: 36.55
[Subscription_8] Feature_5 -> Value: 14.42
[Subscription_12] Feature_5 -> Value: 78.37
[Subscription_14] Feature_5 -> Value: 59.6
[Subscription_16] Feature_5 -> Value: 14.26
[Subscription_20] Feature_5 -> Value: 22.24
[Subscription_4] Feature_2 -> Value: 82.24
[Subscription_2] Feature_5 -> Value: 45.06
[Subscription_6] Feature_5 -> Value: 79.75
[Subscription_9] Feature_4 -> Value: 54.15
[Subscription_11] Feature_1 -> Value: 96.56
[Subscription_18] Feature_5 -> Value: 93.69
[Subscription_15] Feature_2 -> Value: 93.09
[Subscription_1] Feature_2 -> Value: 35.69
[Subscription_10] Feature_1 -> Value: 75.11
[Subscription_13] Feature_1 -> Value: 50.58
[Subscription_17] Feature_4 -> Value: 13.7
[Subscription_19] Feature_3 -> Value: 51.06
[Subscription_4] Feature_3 -> Value: 60.33
[Subscription_5] Feature_5 -> Value: 18.14
[Subscription_3] Feature_5 -> Value: 35.81
[Subscription_6] Feature_1 -> Value: 8.53
[Subscription_9] Feature_5 -> Value: 86.22
[Subscription_7] Feature_2 -> Value: 62.25
[Subscription_14] Feature_1 -> Value: 25.19
[Subscription_11] Feature_2 -> Value: 5.79
[Subscription_16] Feature_1 -> Value: 76.26
[Subscription_20] Feature_1 -> Value: 72.58
[Subscription_1] Feature_3 -> Value: 96.91
[Subscription_8] Feature_1 -> Value: 41.35
[Subscription_12] Feature_1 -> Value: 54.89
[Subscription_19] Feature_4 -> Value: 74.0
[Subscription_2] Feature_1 -> Value: 15.19
[Subscription_3] Feature_1 -> Value: 92.62
[Subscription_6] Feature_2 -> Value: 59.78
[Subscription_14] Feature_2 -> Value: 52.73
[Subscription_13] Feature_2 -> Value: 48.86
[Subscription_11] Feature_3 -> Value: 43.15
[Subscription_18] Feature_1 -> Value: 41.75
[Subscription_15] Feature_3 -> Value: 65.18
[Subscription_4] Feature_4 -> Value: 33.11
[Subscription_5] Feature_1 -> Value: 29.52
[Subscription_7] Feature_3 -> Value: 3.07
[Subscription_10] Feature_2 -> Value: 48.44
[Subscription_12] Feature_2 -> Value: 69.17
[Subscription_17] Feature_5 -> Value: 18.5
[Subscription_16] Feature_2 -> Value: 91.82
[Subscription_20] Feature_2 -> Value: 51.04
[Subscription_19] Feature_5 -> Value: 84.49
[Subscription_2] Feature_2 -> Value: 36.11
[Subscription_3] Feature_2 -> Value: 23.7
[Subscription_9] Feature_1 -> Value: 88.76
[Subscription_8] Feature_2 -> Value: 37.93
[Subscription_15] Feature_4 -> Value: 13.41
[Subscription_1] Feature_4 -> Value: 72.8
[Subscription_4] Feature_5 -> Value: 23.09
[Subscription_10] Feature_3 -> Value: 40.83
[Subscription_11] Feature_4 -> Value: 21.19
[Subscription_5] Feature_2 -> Value: 27.2
[Subscription_3] Feature_3 -> Value: 41.94
[Subscription_6] Feature_3 -> Value: 39.42
[Subscription_14] Feature_3 -> Value: 9.84
[Subscription_13] Feature_3 -> Value: 55.44
[Subscription_17] Feature_1 -> Value: 69.22
[Subscription_16] Feature_3 -> Value: 85.84
[Subscription_18] Feature_2 -> Value: 85.59
[Subscription_2] Feature_3 -> Value: 42.38
[Subscription_9] Feature_2 -> Value: 47.23
[Subscription_7] Feature_4 -> Value: 50.07
[Subscription_10] Feature_4 -> Value: 67.99
[Subscription_12] Feature_3 -> Value: 55.5
[Subscription_20] Feature_3 -> Value: 55.89
[Subscription_15] Feature_5 -> Value: 80.43
[Subscription_19] Feature_1 -> Value: 60.94
[Subscription_4] Feature_1 -> Value: 86.65
[Subscription_3] Feature_4 -> Value: 76.47
[Subscription_6] Feature_4 -> Value: 24.3
[Subscription_8] Feature_3 -> Value: 34.81
[Subscription_17] Feature_2 -> Value: 1.97
[Subscription_11] Feature_5 -> Value: 59.49
[Subscription_16] Feature_4 -> Value: 62.87
[Subscription_18] Feature_3 -> Value: 32.88
[Subscription_1] Feature_5 -> Value: 18.22
[Subscription_5] Feature_3 -> Value: 29.14
[Subscription_12] Feature_4 -> Value: 2.03
[Subscription_15] Feature_1 -> Value: 24.43
[Subscription_19] Feature_2 -> Value: 27.27
[Subscription_4] Feature_2 -> Value: 33.65
[Subscription_9] Feature_3 -> Value: 4.29
[Subscription_10] Feature_5 -> Value: 33.71
[Subscription_14] Feature_4 -> Value: 62.26
[Subscription_13] Feature_4 -> Value: 44.09
[Subscription_20] Feature_4 -> Value: 57.61
[Subscription_2] Feature_4 -> Value: 32.08
[Subscription_3] Feature_5 -> Value: 61.61
[Subscription_7] Feature_5 -> Value: 57.3
[Subscription_8] Feature_4 -> Value: 79.19
[Subscription_11] Feature_1 -> Value: 27.83
[Subscription_16] Feature_5 -> Value: 99.44
[Subscription_5] Feature_4 -> Value: 76.26
[Subscription_9] Feature_4 -> Value: 41.87
[Subscription_6] Feature_5 -> Value: 75.63
[Subscription_12] Feature_5 -> Value: 46.08
[Subscription_17] Feature_3 -> Value: 52.1
[Subscription_18] Feature_4 -> Value: 25.49
[Subscription_20] Feature_5 -> Value: 23.93
[Subscription_15] Feature_2 -> Value: 33.06
[Subscription_1] Feature_1 -> Value: 57.56
[Subscription_19] Feature_3 -> Value: 9.99
[Subscription_4] Feature_3 -> Value: 73.7
[Subscription_3] Feature_1 -> Value: 31.49
[Subscription_6] Feature_1 -> Value: 77.06
[Subscription_7] Feature_1 -> Value: 29.74
[Subscription_10] Feature_1 -> Value: 10.93
[Subscription_14] Feature_5 -> Value: 23.81
[Subscription_12] Feature_1 -> Value: 28.14
[Subscription_13] Feature_5 -> Value: 93.16
[Subscription_17] Feature_4 -> Value: 99.23
[Subscription_11] Feature_2 -> Value: 54.74
[Subscription_20] Feature_1 -> Value: 54.28
[Subscription_15] Feature_3 -> Value: 34.73
[Subscription_1] Feature_2 -> Value: 35.5
[Subscription_2] Feature_5 -> Value: 42.1
[Subscription_9] Feature_5 -> Value: 47.48
[Subscription_8] Feature_5 -> Value: 65.82
[Subscription_16] Feature_1 -> Value: 73.72
[Subscription_5] Feature_5 -> Value: 95.49
[Subscription_6] Feature_2 -> Value: 76.65
[Subscription_7] Feature_2 -> Value: 32.25
[Subscription_17] Feature_5 -> Value: 44.98
[Subscription_18] Feature_5 -> Value: 4.75
[Subscription_1] Feature_3 -> Value: 6.32
[Subscription_8] Feature_1 -> Value: 39.96
[Subscription_10] Feature_2 -> Value: 87.79
[Subscription_14] Feature_1 -> Value: 7.3
[Subscription_12] Feature_2 -> Value: 36.49
[Subscription_13] Feature_1 -> Value: 18.19
[Subscription_16] Feature_2 -> Value: 62.96
[Subscription_20] Feature_2 -> Value: 1.1
[Subscription_19] Feature_4 -> Value: 18.29
[Subscription_4] Feature_4 -> Value: 6.84
[Subscription_2] Feature_1 -> Value: 61.57
[Subscription_3] Feature_2 -> Value: 84.54
[Subscription_6] Feature_3 -> Value: 18.32
[Subscription_11] Feature_3 -> Value: 8.62
[Subscription_17] Feature_1 -> Value: 18.17
[Subscription_18] Feature_1 -> Value: 35.95
[Subscription_15] Feature_4 -> Value: 40.38
[Subscription_9] Feature_1 -> Value: 39.87
[Subscription_10] Feature_3 -> Value: 5.95
[Subscription_14] Feature_2 -> Value: 93.6
[Subscription_20] Feature_3 -> Value: 49.23
[Subscription_2] Feature_2 -> Value: 2.99
[Subscription_5] Feature_1 -> Value: 82.14
[Subscription_7] Feature_3 -> Value: 31.28
[Subscription_12] Feature_3 -> Value: 94.72
[Subscription_13] Feature_2 -> Value: 86.61
[Subscription_17] Feature_2 -> Value: 33.24
[Subscription_15] Feature_5 -> Value: 44.76
[Subscription_19] Feature_5 -> Value: 84.77
[Subscription_1] Feature_4 -> Value: 15.13
[Subscription_4] Feature_5 -> Value: 11.3
[Subscription_8] Feature_2 -> Value: 66.67
[Subscription_11] Feature_4 -> Value: 20.11
[Subscription_16] Feature_3 -> Value: 13.1
[Subscription_3] Feature_3 -> Value: 93.86
[Subscription_9] Feature_2 -> Value: 53.33
[Subscription_6] Feature_4 -> Value: 79.03
[Subscription_10] Feature_4 -> Value: 56.14
[Subscription_12] Feature_4 -> Value: 76.9
[Subscription_14] Feature_3 -> Value: 99.2
[Subscription_18] Feature_2 -> Value: 64.65
[Subscription_20] Feature_4 -> Value: 6.67
[Subscription_4] Feature_1 -> Value: 38.32
[Subscription_2] Feature_3 -> Value: 32.73
[Subscription_13] Feature_3 -> Value: 44.41
[Subscription_16] Feature_4 -> Value: 62.94
[Subscription_5] Feature_2 -> Value: 54.71
[Subscription_7] Feature_4 -> Value: 89.15
[Subscription_8] Feature_3 -> Value: 50.35
[Subscription_10] Feature_5 -> Value: 0.49
[Subscription_11] Feature_5 -> Value: 20.55
[Subscription_17] Feature_3 -> Value: 15.29
[Subscription_15] Feature_1 -> Value: 28.85
[Subscription_19] Feature_1 -> Value: 55.03
[Subscription_1] Feature_5 -> Value: 50.44
[Subscription_2] Feature_4 -> Value: 52.14
[Subscription_3] Feature_4 -> Value: 62.85
